description,prob_type
"The overhead heater in the lobby at the front door is blowing cold air.

Tonya Smith 1/8/2018
Assigned to Fischer",HVAC
"There is no heat in the kitchen area and the temperatures are dangerously cold for working condition.

Tonya Smith 1/8/2018
Assigned to Fischer",HVAC
"Please supply labor and material to repair no heat coming from the radiator in room 207 at the Eastern clinic.  Contact person is Melina Turtle 410-396-7575.

Jonae Barnes 1/10/18
Assigned to Fischer",HVAC
"Repair heating unit on 2nd Flr. of station.
Req. 65169
Officer in charge
410-396-0420

Wycliffe Eccles

R.F. Warder notified.        Spoke to Deb Stallings.

Tonya Smith 1/9/2018
Assigned to R. F. Warder",HVAC
"Repair domestic water heater, heater only putting out luke warm water.
Req. 65170
Officer in charge
410-396-9383

Wycliffe Eccles

R.F. Warder notified.    Spoke to Deb Stallings

Tonya Smith 1/9/2018
Assigned to R. F. Warder",Plumbing
"PROVIDE REPLACEMENT OF RUSTED AND LEAKING RECOVERY TANK FOR BOILER

Tonya Smith 1/8/2018
Assigned to East Coast Welding",HVAC
"PROVIDE REPAIRS FOR MIXING VALVE FOR BOILER.NOT OPERATING PROPERLY

Tonya Smith 1/8/2018
Assigned to East Coast Welding",HVAC
"No Heat rooms 121, 122, and Teachers lounge

Tonya Smith 1/7/2018
Assigned to Denver-Elek",HVAC
"No heat Rooms 120, 128, 109, 139, 216, 201, and 234.

Tonya Smith 1/7/2018
Assigned to Denver-Elek",Plumbing
"No Heat - Gym

Tonya Smith 1/7/2018
Assigned to Denver-Elek",HVAC
"No heat -Gym

Tonya Smith 1/7/2018
Assigned to Denver-Elek",HVAC
"Please address the issues in the following rooms:
135 Plug Popped
134 Cold air
138 Coil Issue
136 Bad Motor

Tonya Smith 1/7/2018
Assigned to R. F. Warder",HVAC
"No Heat in rooms 108, 109, 212A, 212B, 216A, 216B, Library
also Blowing cold air 110, 111, 112, 102, 210, 205, 206, and Gym

Tonya Smith 1/7/2018
Assigned to R. F. Warder",HVAC
"Room 116 and 132.  Room 001 and the cafeteria kitchen should be added to the list of cold rooms, childcare center .   Rooms 115, 125, 126, and 202 are still not working

Olivia 1/8/17
Assigned to R.F Warder",HVAC
"PROVIDE REPAIRS FOR OIL FIRED FURNACE REAR AREA.WILL NOT STAY LIT

Tonya Smith 1/8/2018
Assigned to Fischer",HVAC
"Please provide labor and material to restore the heat to the building. Please check the boiler.

Olivia 1/6/18
Assigned to Pepco",HVAC
"Please provide labor and material to repair the broken pipes at this location.

Olivia 1/6/18
Asisgned to R.F Warder",Plumbing
"Please replace the burnt out light bulbs in the Chief of Patrols office area.
Contact: Ray Branch",Electrical
water is leaking in the Chief of Staff's office from his a/c unit.  Please send someone.  contact person Cindy Stevenson 6-1611.   Thank you.,HVAC
Room 329E toilet clogged jury room,Plumbing
Room 561E light out in chamber hallway,Electrical
Room 260E jury room men's bathroom toilet clogged,Plumbing
Please replace the bulb above parking space #71,Electrical
1st sink in women's bathroom draining slow School of Health 2nd fl.  .......,Plumbing
Replace bulbs and ballast in the following areas: Dental Office and Mechanical Room....,Electrical
"Repair air line for Truck, copper line has been pulled from ceiling.
Req. 65161
Officer in charge
410-396-3140

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Jason Wagaman.

Tonya Smith 1/8/2018
Assigned to Fischer",HVAC
"Repair heating unit in Rm 125, fan motor not working.
Officer in charge
410-396-2715

Wycliffe Eccles

Tonya Smith 1/8/2018
Assigned to Fischer",HVAC
"Furnace is inoperable at 6210 Pulaski Highway (Street Lighting Division) Not sure what the problem is. Heat will not come on.
Contact person (Joann Dimarino) (443-984-1112) (Note Location)

Tonya Smith 1/5/2018
Cancelled",HVAC
"No heat in Right of Way Division Rm 204. HVAC units are blowing cold air.

Olivia 1/17/18
Assigned to JCI",HVAC
"There is no heat in the jail cell area of the district

Olivia 1/6/18
Assigned to Fisher",HVAC
"Please have JCI check rooms 134 , and  136 for heat , no heat from radiators in courtroom or judges chambers

Tonya Smith 1/5/2018
Assigned to JCI",HVAC
"Room 528E too cold.

Tonya Smith 1/5/2018
Assigned to JCI",HVAC
"Room 220M break room too cold

Olivia 1/17/18
Assigned to JCI",HVAC
"A-24 unit is not working in Rm 6. It's blowing cold air.
PLEASE SEND JCI

Tonya Smith 1/5/2018
Assigned to JCI",HVAC
"Please have JCI check radiators for proper operation in rooms 314 , and room 348 in courthouse east

Tonya Smith 1/8/2018
Assigned to JCI",HVAC
"Check-In-Trailer - Floor board heaters not working

Tonya Smith 1/5/2018
Assigned to Denver-Elek",HVAC
"Furnace pipe has busted, water has been leaking from furnace and had to be turned off. Heat is not working at all.
Contact person Ron Hunter (410) 396-4936

Tonya Smith 1/5/2018
Assigned to R. F. Warder",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT THE CAROLL PARK MAINT YARD - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/5/2018
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT THE RIVERSIDE PARK MAINT BUILDING - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/5/2018
Assigned to Fischer",HVAC
"The thermostat for the basement ECU are is in a small room (DV4) that warms up quickly and causes the unit to not adequately heat. Please move to a more centralized and open location.

Jonae Barnes 1/18/18
Assigned to Fischer",HVAC
"NO HEAT PRESIDENT JACK YOUNGS AREA
JASON ON SITE

Tonya Smith 1/5/2018
Assigned to Fischer",HVAC
"no heat 145 pipe rotted out at unit and going down hall
Jason on site

Tonya Smith 1/5/2018
Assigned to Fischer",HVAC
"repair steam leaks off convertor
Jason on site

Tonya Smith 1/5/2018
Assigned to Fischer",HVAC
"repair replace dual heating pump
Jason on site

Tonya Smith 1/5/2018
Assigned to Fischer",HVAC
"Repair heating unit in Rm 317, no heat from unit.
Officer in charge
410-396-3091

Wycliffe Eccles

Olivia 1/5/18
Assigned to R.F Warder",HVAC
"PROVIDE REPAIRS FOR TROUBLE ALARM ON GAS BOOSTER PUMP.READOUT INDICATES MOTOR FAIL.NEW PUMP WAS
INSTALLED ON 9/7/16 BY R.F.WARDER.POSSIBLE WARRANTY ITEM

Tonya Smith 1/5/2018
Assigned to R. F. Warder",Plumbing
"LABOR AND MATERIALS TO REPAIR THE HEAT AT FARRING BAYBROOK RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED


Tonya Smith 1/5/2018
Assigned to Fischer",HVAC
"Repair comination heating/cooling window unit in Rm 124B Chief Caisse's Office, unit not working.
Req. 65158
Officer in charge
410-396-2715

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Jason Wagaman.

Tonya Smith 1/8/2018
Assigned to Fischer",HVAC
"Please repair confort cooling return motor in basement of central library. There is a loud grinding noise coming from the motor,
possible worn bearings. It is a baldor .reliance super.e motor: 50 hp , rpm 1775, 230/450volts 3 phase.
 Contact: David Grandison at 410-365-6942

Tonya Smith 1/8/2018
Assigned to Fischer",HVAC
"1. Replace coalescing filter in the compressed air line in print shop with new unit
2. Remove extra plumbing and gear from wall area and reroute sink plumbing to new sink position 
3. Replace shut offs with new 1/2 quarter turn units

Tonya Smith 1/8/2018
Assigned to Fischer",Plumbing
"Repair leaking condensate line in Rm 125.
Officer in charge
410-396-2715

Wycliffe Eccles

Tonya Smith 1/8/2018
Assigned to Fischer",Plumbing
"Replace HVAC filters at the gunpowder range.One unit has 4 filters measuring 12""x 24""x 2"" and the other unit has 8 filters measuring 20""x 25""x 2""
Contact: Sgt Bob Scarborough 410-592-9173

Tonya Smith 1/5/2018
Assigned to Reginald Frederick",HVAC
The light switch in the rear room is not working properly and needs to be replaced.,Electrical
The toilet in the front lobby men's room is clogged and need repairs.,Plumbing
"A urnial in the mens bathroom is draining properly and sometime overflows.
Contact: Sgt. Scarborough 410-592-9173",Plumbing
Provide labor & material to replace lightings on 6th floor - lights are out.,Electrical
Provide labor & material to unclog urinal in men's restroom,Plumbing
Provide labor & material to unclog toilet in women's restroom,Plumbing
Provide labor & material to unclog toilet in women's restroom,Plumbing
Men's restroom  toilet clogged 2nd floor center,Plumbing
Room 426M power outage,Electrical
Room 100E lights out,Electrical
Room 550E leak in bathroom,Plumbing
"Please provide labor & materials to repair the leaking radiator in Eastern's Dental Clinic.

Contact: Tracy or Katie @ 443-984-3548

Tonya Smith 1/5/2018
Assigned to Michael Lawrence",HVAC
"Please provide labor & materials to repair the leaking radiator in Eastern's Dental Clinic.

Contact: Tracy or Katie @ 443-984-3548

Tonya Smith 1/5/2018
Assigned to Michael Lawrence",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT CARROLL F. COOK RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
"purchase from Grainger's   •Electric forced electric space heater. 120 volt 1500/1000/650 watts Model Number 1VNW9 @ $ 56.75 each.

•	We plan to purchase 8 with Total cost is $454.00. 

•	Account number 811360775

They are on will call under the name of Ray Dellota we can pick them this morning once the store opens at 7am.

Olivia 1/4/18
Assigned to Michael",HVAC
"Purchase from Grainger's •	Fan forced electric space heater. 120 volt 1500/1000/650 watts Model Number 1VNW9 @ $ 56.75 each.

•	We plan to purchase 8 with Total cost is $454.00. 

•	Account number 811360775

They are on will call under the name of Ray Dellota we can pick them this morning once the store opens at 7am.

Olivia 1/4/18
Assigned to Michael",HVAC
"Please  provide labor and material to repair the two  hanging heaters in the bay  area.  URGENT.....   Contact person is Sergio R. 443-463-5806

Tonya Smith 1/4/2018
Assigned to Michael Lawrence",HVAC
"Please  provide labor and material to repair the two  hanging heaters in the bay  area.  URGENT.....   Contact person is Sergio R. 443-463-5806

Tonya Smith 1/4/2018
Assigned to Michael Lawrence",HVAC
"Please  provide labor and material to repair the two  hanging heaters in the bay  area.  URGENT.....   Contact person is Sergio R. 443-463-5806

Tonya Smith 1/4/2018
Assigned to Michael Lawrence",HVAC
"Please  provide labor and material to repair the two  hanging heaters in the bay  area.  URGENT.....   Contact person is Sergio R. 443-463-5806

Tonya Smith 1/4/2018
Assigned to Michael Lawrence",HVAC
"Please  provide labor and material to repair the two  hanging heaters in the bay  area.  URGENT.....   Contact person is Sergio R. 443-463-5806

Tonya Smith 1/4/2018
Assigned to Michael Lawrence",HVAC
"Please  provide labor and material to repair the two  hanging heaters in the bay  area.  URGENT.....   Contact person is Sergio R. 443-463-5806

Tonya Smith 1/4/2018
Assigned to Michael Lawrence",HVAC
"****************QUOTE****************

Please quote and asses adding Split Units in the basement ECU area. Occupants state that its extremely cold down there all winter and an 
HVAC vendor told them the existing setup is not capable of heating and cooling the space as it should be.

Contact: Lt Dressler

Tonya Smith 1/5/2018
Please provide Quote Fischer",HVAC
"Attn Oliver Baker-Please have the vendor to give us a quote to replace unit in the Northeast side at Bowley's Lane. the original work request was 90925 and you recommended that the unit be replaced. Contact person Loretta Brown 6-3315

Tonya Smith 1/5/2018
Assigned to Denver Elek",HVAC
"Please provide labor & materials to repair the radiator in the office across from the front desk at druid dental clinic.
Contact: Valerie @ 410-396-0841

Tonya Smith 1/5/2018
Assigned to Michael Lawrence

Jonae Barnes 1/18/18
Assigned to Fresh Air",HVAC
"Room 523E Too hot

Tonya Smith 1/4/2018
Assigned to JCI",HVAC
"room 550E no heat in chambers

Tonya Smith 1/4/2018
Assigned to JCI",HVAC
"Room 252E Cold air blowing out of vent

Tonya Smith 1/4/2018
Assigned to JCI",HVAC
"Room 201 and 205E very cold

Tonya Smith 1/5/2018
Assigned to JCI",HVAC
"Room 528E too cold

Tonya Smith 1/4/2018
Assigned to JCI",HVAC
"Room 126E too cold

Olivia 1/4/18
Assigned to JCI",HVAC
"Room 200M too cold

Olivia 1/4/18
Assigned to JCI",HVAC
"Room 204M too cold

Olivia 1/4/18
Assigned to Jci",HVAC
"Hose to delivery lift needs to be replaced, ordered or repaired.",Electrical
"Purchase from Grainger's •	Fan forced electric space heater. 120 volt 1500/1000/650 watts Model Number 1VNW9 @ $ 56.75 each.

•	We plan to purchase 8 with Total cost is $454.00. 

•	Account number 811360775

They are on will call under the name of Ray Dellota we can pick them this morning once the store opens at 7am.

Olivia 1/4/18
Assigned to Michael",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT ROOSEVELT RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTGED

Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
"No heat in the Chief of Patrols area, it is blowing out cold air.
Contact: Ray Branch

Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
"Repair leaking water line in Hose Tower.
Req. 65156
Officer in charge
410-396-9211

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Jason Wagaman.

Tonya Smith 1/5/2018
Assigned to Fischer",HVAC
"Please provide labor and material to repair the hand wash in the truck shop area,  draining slow.  Contact  Person Sergio R.
Assign to Gus from Horton.  has been notified.

Tonya Smith 1/4/2018
Assigned to Fischer",Plumbing
"1) Unit in the Advocates area in the lower level is blowing hot air, but the fan is barely blowing and not circulating the heat
2) Unit by the gym doors was worked on by DGS last week, tech said he needed parts nut never returned - unit is still completely down
3) Rooftop unit in the rotunda area is down (will need an extension ladder to access the upper roof)
Contact is Kerry Owings at 5-6950
ATTN:  Wycliffe Eccles

Olivia 1/4/18
Assigned to Fred

Jonae Barnes 1/8/18
Assigned to Fischer",HVAC
"Replace the circulating pump on the existing boiler at the Western District.
Contact:  John Habicht

Olivia 1/4/18
Assigned to Denver Elek",HVAC
"Please send someone to Bowleys Lane to repair HVAC unit in Ms. Tina Walker's office a.s.a.p. (i'ts cold outside) the unit is knocking and the heat is not blowing out correctly.  Thank you Contact Tina Walker 6-9950

Tonya Smith 1/5/2018
Assigned to Michael Lawrence",HVAC
"Purchase from Granger's **  2 Fan forced electric space heater Model Number 1VNX1@$64.96 each total cost $129.92

Olivia 1/4/18
Assigned to Michael",HVAC
"Please supply labor and material to supply heat in room 207, 225 & 226 in School health.  Contact person is Melina Turtle 410-396-7575.

Olivia 1/4/18
Assigned to Fred",HVAC
"Please supply labor and material to supply heat in room 207, 225 & 226 in School health.  Contact person is Melina Turtle 410-396-7575.

Olivia 1/4/18
Assigned to Fred",HVAC
"need stat and wrench for president youngs office
m&m controls 
credit card         city hall",HVAC
"Safety Division located at 210 Guilford Ave on the 2nd floor...has lighting fixtures out throughout the 1st and 2nd floor.

If you have any questions please contact me.

Erik Riddick
410-545-6855",Electrical
"Safety Division located at 210 Guilford Ave on the 2nd floor...has lighting fixtures out throughout the 1st and 2nd floor.

If you have any questions please contact me.

Erik Riddick
410-545-6855",Electrical
"Replace burnt out light bulbs in the sex offense unit outside of the Majors office.
Contact: Major Hohman",Electrical
Pipe leaking in the South stairwell between the 10th and 9th floor.  Please send someone to investigate.  contact person Loretta Brown 6-3315,Plumbing
electrical problems in 3 offices on 2nd flr,Electrical
"The Liebert AC units on the 4th floor of the ABEL-WOLMAN BUILDING need to be repaired. A work order was submitted for this request to be
addressed ASAP, but it was never addressed. The previous work order number is 98004. Please send someone to address this issue immediately.
This work order is for the Abel-Wolman Building, NOT the MECU building.

Jonae Barnes 1/3/18
Assigned to Fischer",HVAC
"The heating unit in the MIS store room which is next to the computer repair shop on the 4th floor in not working.
Contact: Vickey Adcock 443-257-9716 or 443-984-7356

Jonae Barnes 1/3/18
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE OVERHEAD LOUVERS IN BILL VONDRASEK'S OFFICE LOCATED IN THE RECREATION ADMINISTRATION OFFICE AT 3001 EAST DRIVE - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
LABOR AND MATERIALS TO REPAIR THE HEAT AT CC JACKSON RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED,HVAC
"*****Urgent******

A pipe in the ceiling has burst and water is flooding the area in the office area behind city watch at 118 N. Howard St. 
Contact: Lt. Featherstone at 443-845-3037.

Jonae Barnes 1/18/17
Assigned to Fischer",Plumbing
"*****Urgent******

A pipe in the ceiling has burst and water is flooding the area in the office area behind city watch at 118 N. Howard St. 
Contact: Lt. Featherstone at 443-845-3037.

Jonae Barnes 1/18/17
Assigned to Fischer",Plumbing
"A pipe burst on the second floorMECU building Please send someone ASAP to repair. The water has spread down to the lower level causing flooring, in the lobby and on LL2. A phone was placed to Charles Claridy and an text sent to Jason Ludd. Per Charles someone from DGS is on the way. Please follow up. Also, the flooding has leaked out to the curb. We suspect there will be icing over night. Please bring salt. Bryan Bartch is the contact. He is located on the 4th floor MECU. he is in the office until 7pm.",Plumbing
electric problems in guard shack,Electrical
"There is a leak coming from the ceiling in LL2. Please contact Teddy Washington at Teddy.Washington@baltimorecity.gov or 410-396-6648 for
details.",Plumbing
PROVIDE REPAIRS FPOR EMERGENCY GENERATOR.LEAKING ANTIFREEZE.Generator in locked gate area in rear.call rick fisher at 443-250-0246 for access,Electrical
"LABOR AND MATERIALS TO REPAIR THE HEAT AT CC JACKSON RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED


Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
"On 1/2/18 I responded to SR #18-00001276 which was a no heat complaint for the men’s overflow shelter – an MCC property.  The complainant had a bed on the 2nd floor of the shelter.  I took temperature readings throughout the 2nd floor which were 45,46,50,51,52,60 & 63 degrees throughout.  I spoke to the property manager Levon Carrington who can be reached at 443-473-5283 who stated he has put in 10 work orders for lack of heat and each time general services comes out they state there is no problem with the heat.  The building has electric baseboard heaters which are not producing sufficient heat to meet Baltimore City code of 70 degrees minimum.

Tonya Smith 1/10/2018
Assigned to R. F Warder",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT CC JACKSON RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED


Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT IN THE DRUID HILL COMPLEX OFFICE - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
"Per Dexter Wade of Glass Substance Abuse, the heat isn't working in the building.  Please send someone out to address.

Jonae Barnes 1/3/18

Assigned to Reginald Frederick

Olivia 1/5/18
Assigned to Fischer",HVAC
"To purchase 2 Circulator Pumps from R.E Michel for WO#98008

Jonae Barnes 1/3/17
Sent to Michael Lawrence",HVAC
"URGENT:  Restore hot water at this location asap.  Contact person is Robert Ritenour (410-361-9372).

Jonae Barnes 1/3/18
Assigned to RF Warder",Plumbing
"LABOR AND MATERIALS TO REPAIR THE HEAT AT MARY E. RODMAN RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT TOONEY TOWN DAYCARE LOCATEDON THE LOWER LEVEL IN THE CECIL KIRK RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT IN THE CANTON WATERFRONT PARK - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED


Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE WALL UNIT IN THE TRIAGE ROOM AT THE CARRIE MURRAY NATURE CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
"LABOR AND MATERIALS REPAIR THE HEAT IN THE GYM AT UPTON BOXING CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
"Please provide labor & materials to restore heat to the second floor of the John Booth Senior Center.

Rita Hartman is the onsite contact 410.396.9202

Olivia 1/4/18
Assigned to R.F Warder",HVAC
"Repair ceiling hung unit heaters in apparatus Bay, one heater leaking, one heater has bad fan motor.
Req. 65150
Officer in charge
410-396-5163

Wycliffe Eccles

J.F. Fischer notified.     Spoke to Jason Wagaman.

Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
"Repair ice machine, unit not making ice.
Req. 65152
Officer in charge
410-396-9350

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Jason Wagaman.

Tonya Smith 1/4/2018
Assigned to Fischer",HVAC
Provide labor and material to repair HVAC line that ruptured causing flooding.,HVAC
"Replace burnt out light bulbs in the gym bathrooms. 
Contact: Property Office at the District.",Electrical
Provide labor to make repairs to Emergency Exit Sign,Electrical
"Check location to assure the heat is in good operations and functioning along with hot water to all showers and sinks.  
This function should be completed first thing in the morning and address any issues.

Tonya Smith 1/2/2018
Assigned to Antwarren Snell",HVAC
"The lights connected to the two display cases in family planning waiting area, are not working. We believe a fuse was blown last week sometime when the outlets were in use.

Laura Tard is the onsite contact and can be reached at 410-396-0100.",Electrical
"Please provide labor & materials to repair the lights in the STD area of the building they are not coming on.

Ned Carter is the onsite contact and can be reached at 410-977-7727.",Electrical
"Unclog the sink in Human Resources, the sink is completely stopped up and will not drain.
Contact: Ray Branch",Plumbing
"Please provide labor & materials to unclog the sink in room 245 its draining slowly.

Irish is the onsite contact and can be reached at 410-396-0169.",Plumbing
RESET BREAKER IN SCHOOL HEALTH,Electrical
"REPLACED BULBS IN EMERGENCY LIGHTING SIGNS IN FRONT & BACK ENTRANCE, REPLACED LIGHTS IN HALLWAY, CHECKED ROOFTOP UNIT",Electrical
"CHECKED UNIT, WORKING IMPROPERLY",HVAC
"CHECKED ON NEW BLDG., NO HEAT, CLEANED AROUND THE EXTERIOR OF THE BLDG",HVAC
REPLACED BLOWN LIGHTS IN VARIOUS LOCATIONS,Electrical
"ROOFTOP UNIT OFF, INVESTIGATED PROBLEM, RESET TO ALLOW PROPER WORKING OF UNIT",HVAC
"COURTROOM FREEZING, INVESTIGATED FOUND THAT COVER PANELS TO FILTER COMPARTMENTS WERE BROKEN, PATCHED & TAPED OPENING TO STOP COLD AIR FLOW FROM PENETRATING, ADJUSTED DUCT HEATERS IN UNITS & COURTROOM BASEBOARD HEATERS",HVAC
UNCLOGGED SLOP SINK IN MEN'S RESTROOM,Plumbing
SHUT DOWN MAKEUP WATER TO ROOFTOP AND PURGE FOR WINTER,HVAC
"Admin office # 6 excessively cold. Staff is struggling to work in the office

Tonya Smith 1/2/2018
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT GARDENVILLE RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/2/2017
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT FRED B. LEIDIG RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/2/2017
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT FARRING BAYBROOK RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/2/2017
Assigned to Fischer",HVAC
"There is no heat in the main office and the hallway and classroom closet to the cafeteria in the academy..  Contact Kerry Owings or Sean Young at the site at 5-6950.
Please be advised that school is in session and this is affecting several classrooms",HVAC
"I need a quote for the HVAC systems in the Abel-Wolman Building. Please contact Bryan Bartsch at 443-602-3745 or
Bryan.Bartsch@baltimorecity.gov ASAP.",Electrical
"LABOR AND MATERIALS TO REPAIR THE HEAT AT WALTER P. CARTER RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/2/2018
Assigned to Fischer",HVAC
"Can someone please investigate the heating in the IT Chief's office on the 5th, he concern that it is too cold in his office.  Thank you.  contact person Shanda Johnson 6-3327.

Tonya Smith 1/2/2018
Assigned to JCI",HVAC
"Extremely cold in office on the 11th floor, Harpreet Singh's office, room 1107. please send someone to investigate.  Thank you.  contact person Loretta Brown 6-3313.


Tonya Smith 1/2/2018
Assigned to JCI",HVAC
"Turn on heat in restrooms 3rd floor. (Jay Sturgis 410-396-3586)

Tonya Smith 1/2/2018
Assigned to JCI",HVAC
"Please have JCI check heating to room 126 In courthouse east , extreme cold

Tonya Smith 1/2/2017
Assigned to JCI",HVAC
"Please have JCi make needed repairs to unit 46  , this unit serves several areas including the judges chambers of 642

Jonae Barnes 1/3/18
Assigned to JCI",HVAC
"the cloisters is very low on fuel.. space petroleum is not able to deliver until next week.. we have events this weekend..
help!!!!!
annie 443-807-7445",HVAC
"The heat in the first floor men's bathroom is not working.

Tonya Smith 1/2/2018
Assigned to Fischer",HVAC
"Please send fisher plumbing to look at leak in bulb storage area of Mitchell courthouse across from the freight elevator in the basement.
contact Fred 410-599-8021

Olivia 1/3/18
Assigned to Fischer",Plumbing
"The heaters on the 2nd floor are broken, and there is NO HEAT on that floor. The temperature is approximately in the 50s on that floor.
We need someone to come look at the heaters and address this issue TODAY.

Tonya Smith 1/2/2018
Assigned to Fischer",HVAC
"Driver's Trailer - Heat is not working URGENT

Olivia 1/2/18
Assigned to Denver Elek",HVAC
"Please provide labor & materials to repair the air handler unit number 3.

Ned Carter is the onsite contact and can be reached at 410-977-7727.

Olivia 1/2/18
Assigned to Fischer",HVAC
"Please provide labor and materials to restore the heat to the entire building.

Tonya Smith 1/2/2018
Assigned to Denver- Elek",HVAC
"URGENT:  Restore heat at this location asap.  Contact person is Cheryl Meekins (410-361-9378).

Tonya Smith 1/2/2018
Assigned to R. F. Warder",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT IN THE GYM AND MAIN OFFICE AT CHICK WEBB RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED


Tonya Smith 1/2/2017
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT CALLOWHILL AQUATICS CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/2/2017
Assigned to Fischer",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT PARKVIEW RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/2/2018
Assigned to Fischer",HVAC
"Unit #1 is not operational.  Temperature reads 64 degrees.  Please contact Fischer to check the unit.

Tonya Smith 1/2/2018
Assigned to Fischer",HVAC
"Repair rooftop unit for Kitchen, no heat.
Req. 65139
Officer in charge
410-396-0208

Wycliffe Eccles

J.F. Fischer notified.   Spoke to Jason Wagaman.

Jonae Barnes 1/3/18
Assigned to Fischer",HVAC
"Repair Air Handling Unit for Apparatus Bay, no heat in Bay.
Req. 65140
Officer in charge
410-396-0446

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Jason Wagaman.

Jonae Barnes 1/3/18
Assigned to Fischer",HVAC
"Repair fan coil units in BC #2 Office and Bunkroom and BCEMS Office, very little heat from units.
Req. 65142
Officer in charge
410-396-1206

Wycliffe Eccles

J.F. Fischer notified.     Spoke to Jason Wagaman.

Jonae Barnes 1/3/18
Assigned to Fischer",HVAC
"Repairing heating unit #5, fan motor not working.
Req. 65149
Officer in charge
410-545-1409

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Jason Wagaman.

Jonae Barnes 1/3/18
Assigned to Fischer",HVAC
"Please provide labor and material to repair the heat at 201 Fallsway boiler  water level to low.  Urgent. 

Assigned to J. F. Fischer

Tonya Smith 1/2/2018
Assigned to Fischer",HVAC
"Please provide labor and material to repair the radiator leak coming into the cafeteria from the office above.  Contact person is  Dwayne Harris or Victor Taylor at  410-396-5190.
Assigned to Gus from Horton. already notified.

Olivia 1/2/18
Assigned to Fischer",HVAC
